trial_id,target_mode,target_value,P_surf_bar,T_surf_K,M_total_Mj,R_total_Rj,M_Z_total_Me,M_core_input_Me,Sigma_dilute,Z_base,Iron_Fraction,P_center_bar,T_deep,T_top,Delta_T,S_deep,S_top,Delta_S,dt_ds_total,DDC_Match_Ratio,Grad_Fuzzy,Grad_DDC,status
M5.0_T200.0_2644,mass,9.49e+27,1.0,200.0,4.999982750041605,0.9780935916298545,130.67053126401018,63.15789473684211,0.01131578947368421,0.02,0.33,2292780093.9737635,70687.12475746307,200.58496623073293,70486.53979123234,1278.9117380906337,50585.58787573522,-49306.67613764459,-62075924475705.04,0.9007728551005738,-0.001138350228956032,-0.0012637483717567533,success
M1.0_T200.0_1436,mass,1.898e+27,1.0,200.0,0.9999959788673164,0.5379884727789781,268.6187382787474,57.89473684210527,0.16857894736842105,0.02,0.33,959807098.0623773,34588.32867920887,200.143458787793,34388.18522042107,83.76461123670512,50585.58787573522,-50501.82326449851,-20384485318652.89,0.5638828572116685,-0.0013636806891017727,-0.002418375858853036,success
M5.0_T1000.0_3326,mass,9.49e+27,1.0,1000.0,4.999984374391775,1.2626438311879076,101.83982690694062,31.578947368421055,0.016473684210526317,0.02,0.33,1089145712.4666228,194298.94744762295,1001.0670169815866,193297.88043064135,5136.869692340219,69425.39456699316,-64288.52487465294,-154130140940.54886,0.028529384812886402,-0.0024819739408905098,-0.0869971069186683,success
M5.0_T200.0_2618,mass,9.49e+27,1.0,200.0,4.999999494861688,0.8412874466997864,513.5668952439293,52.631578947368425,0.04742105263157895,0.02,0.33,6563014393.750214,106739.36371466967,201.41510024495471,106537.94861442472,1418.1677533306963,50585.58787573522,-49167.420122404525,-123265057798466.69,1.0182851148690282,-0.0022108999970396662,-0.00217119936720673,success
M5.0_T200.0_2411,mass,9.49e+27,1.0,200.0,,,,0.0,0.02936842105263158,0.02,0.33,,,,,,,,,,,,solver_returned_none
M5.0_T200.0_2754,mass,9.49e+27,1.0,200.0,5.000000158377718,0.8694066118291696,435.4552211368396,89.47368421052633,0.03710526315789474,0.02,0.33,5471911177.072131,96551.8990972133,201.44282665513563,96350.45627055816,1405.3787804045346,50585.58787573522,-49180.20909533068,-103124974875465.11,1.0266648980043993,-0.0020736243531417273,-0.002019767459832684,success
M5.0_T500.0_3155,mass,9.49e+27,1.0,500.0,5.000000333100006,0.9494278312241161,449.0187651191684,89.47368421052633,0.03968421052631579,0.02,0.33,4341178690.634965,191862.91805660096,500.54040884596446,191362.377647755,3694.9118308621164,61173.69258603222,-57478.780755170104,-4213507376759.765,0.6587113968060073,-0.0037936702735724614,-0.005759229750642541,success
M5.0_T1000.0_3398,mass,9.49e+27,1.0,1000.0,4.999993511763604,1.0840662858587005,443.02228470334245,47.36842105263158,0.04742105263157895,0.02,0.33,3217925182.993528,300672.7324615042,1000.5197822292996,299672.21267927485,5214.924873389125,69425.39456699316,-64210.46969360403,-308219748610.5691,0.1282192743629328,-0.004866289339113593,-0.03795286912433503,success
M1.0_T500.0_1998,mass,1.898e+27,1.0,500.0,0.9999945966252725,0.5381046538404027,284.0760992222616,100.0,0.18952631578947368,0.02,0.33,1082023800.424773,76196.92031896958,500.5000185425475,75696.42030042704,2796.3650747837073,61173.69258603222,-58377.32751124851,-1052322098893.9657,0.6790183798803888,-0.0031313166547890744,-0.0046115344555778676,success
M1.0_T500.0_1881,mass,1.898e+27,1.0,500.0,1.000000124409854,0.9600242850823903,80.27075122037566,73.6842105263158,0.011473684210526316,0.02,0.33,491357934.9953947,50920.64361107489,500.4856645855175,50420.15794648937,2809.0435611682638,61173.69258603222,-58364.64902486396,-194498425725.45392,0.19706936657629734,-0.0012729603285578572,-0.006459453088387627,success
M1.0_T1000.0_2245,mass,1.898e+27,1.0,1000.0,1.0000131565729864,1.0772800505777433,117.09995624854987,63.15789473684211,0.05336842105263158,0.02,0.33,515409545.05240345,98846.39486088284,1001.3590604297236,97845.03580045312,4630.923682433749,69425.39456699316,-64794.47088455941,-17410789044.566395,0.049967691316591165,-0.0018348141143293773,-0.03672000979000904,success
