M_core_Me,Transfer_Mode,Target_Mz_Me,M_dilute_Me,M_Z_total_Me,R_total_Re,Sigma_Used,dt_ds_total,DDC_Match_Ratio,Grad_Fuzzy,Grad_DDC
4.421052631578947,Direct Metal (Total Z = 7.0 M_E),7.0,2.579465227975545,7.000517859554492,12.946506897965271,0.0071923324841913,-5760707188.537697,0.4341887938256199,-0.0002038919968795,-0.0004695929507602
5.052631578947368,Direct Metal (Total Z = 7.5 M_E),7.5,2.442990683179663,7.495622262127031,8.380385731437046,0.0265315833444387,-11666504634.62267,0.6005894494162314,-0.0003044471044416,-0.0005069138406236
1.5789473684210522,Direct Metal (Total Z = 7.5 M_E),7.5,5.921485738438686,7.500433106859738,5.6322570483839005,0.4567532699030774,-55632638081.533806,0.7579876158087006,-0.000469169339202,-0.0006189670245489
1.0,Direct Metal (Total Z = 7.5 M_E),7.5,6.509835331865818,7.509835331865818,5.287369088290178,0.486301310612242,-67777080254.583145,0.7665062435291767,-0.0004828000839919,-0.0006298710389742
4.157894736842105,Direct Metal (Total Z = 7.0 M_E),7.0,2.841320809445734,6.999215546287839,13.16944055052488,0.02514533906585,-6024295454.976535,0.43356713071104,-0.0002062191073006,-0.0004756336278593
3.8947368421052633,Direct Metal (Total Z = 7.0 M_E),7.0,3.105610777110616,7.000347619215879,13.26028165992446,0.0256404074709524,-6373609813.788522,0.434237337111951,-0.0002088765946026,-0.0004810194259015
2.8421052631578947,Direct Metal (Total Z = 7.0 M_E),7.0,4.153060263404407,6.995165526562301,12.7109349545424,0.2487650863532137,-9150993869.981045,0.5221036941503072,-0.0001936725960072,-0.0003709466111371
7.0,Direct Metal (Total Z = 7.5 M_E),7.5,0.5032063642937601,7.50320636429376,6.094744900756435,0.009282066856973,-7003999573.626544,0.4996582313266279,-0.0002800165899553,-0.0005604162453441
6.2105263157894735,Direct Metal (Total Z = 7.5 M_E),7.5,1.2898182077980822,7.500344523587556,6.832934611062787,0.0131603290980212,-10459949528.106756,0.5970549387521019,-0.0003372123065754,-0.0005647927597421
5.342105263157895,Direct Metal (Total Z = 7.5 M_E),7.5,2.1589875182660814,7.501092781423976,8.188217525526015,0.0153659848203824,-10995297901.199331,0.6008227916690346,-0.0003042808596722,-0.0005064402747222
6.714285714285714,Direct Metal (Total Z = 7.0 M_E),7.0,0.2766598442160033,6.990945558501718,10.075798676759485,0.0041693495421432,-2679250830.196871,0.2663357561556836,-0.0001389676726825,-0.000521776252233
6.571428571428571,Direct Metal (Total Z = 7.0 M_E),7.0,0.4380534934729914,7.009482064901563,11.335473011251729,0.0056826805093299,-2561278931.360738,0.2874436201238974,-0.0001270879307486,-0.0004421316802713
6.0,Direct Metal (Total Z = 7.0 M_E),7.0,1.032815609774902,7.032815609774902,11.07920346044612,0.01,-4099212804.671303,0.3844288036439324,-0.0001761919523366,-0.0004583214126166
4.947368421052632,Direct Metal (Total Z = 7.0 M_E),7.0,2.053418907243953,7.000787328296585,11.012592478710747,0.0127838285663456,-6626667150.621393,0.4575612440334551,-0.0002319402997532,-0.0005069054750105
3.631578947368421,Direct Metal (Total Z = 7.0 M_E),7.0,3.3673725791005813,6.9989515264690025,13.574840591269274,0.0154406138360276,-6528207742.582463,0.4287934661576857,-0.0002093457764921,-0.0004882205374256
3.368421052631579,Direct Metal (Total Z = 7.0 M_E),7.0,3.6319383875173687,7.000359440148948,14.183986220526792,0.0468461020509315,-6555986830.480525,0.4650602028597402,-0.000178662742198,-0.0003841712128868
3.105263157894737,Direct Metal (Total Z = 7.0 M_E),7.0,3.894663832858364,6.999926990753101,13.882067701403328,0.0490509230067447,-7262285928.08106,0.4744212656650876,-0.0001848556403621,-0.0003896445074042
2.5789473684210527,Direct Metal (Total Z = 7.0 M_E),7.0,4.402070943588242,6.981018312009295,12.849123474335432,0.2653638721046613,-9568608924.95432,0.5236664418098325,-0.0001968900033,-0.0003759836177769
6.785714285714286,Direct Metal (Total Z = 7.0 M_E),7.0,0.2408736356511172,7.026587921365403,10.748166891172662,0.0035499074924178,-2405961656.8830147,0.2445211055178198,-0.000126441513617,-0.0005170985684417
6.642857142857143,Direct Metal (Total Z = 7.0 M_E),7.0,0.3803148722155871,7.02317201507273,11.039204559650583,0.0052412175469284,-2569161628.162841,0.291916390546921,-0.000128414843135,-0.0004399028190723
2.0526315789473686,Direct Metal (Total Z = 7.0 M_E),7.0,4.965857134110207,7.018488713057575,11.789996980112043,0.2806809848834096,-12535678546.930454,0.5575847929670572,-0.000214206793465,-0.0003841690020367
2.3157894736842106,Direct Metal (Total Z = 7.0 M_E),7.0,4.697044281082079,7.012833754766289,11.955359210848036,0.2715233114864776,-11549308713.771786,0.5507054312708238,-0.0002084065376425,-0.0003784355951631
1.7894736842105263,Direct Metal (Total Z = 7.0 M_E),7.0,5.2264788961696285,7.015952580380155,11.377800243293551,0.2905756368613273,-14012420538.906591,0.5681522658307753,-0.0002231095211967,-0.0003926931821182
